"","school","preveducation","preveducationtype","prevCC","matrix_pre_1","matrix_pre_2","matrix_pre_3","matrix_pre_4","matrix_pre_5","matrix_pre_6","cc_choice"
"6","Triangle Math & Science Academy",0,"",NA,4,4,4,4,4,4,1
"9","Hillside High School",1,"Video",NA,4,4,4,3,4,4,0
"19","West Forsyth High School",4,"Handout,Lecture,PowerPoint,Video,Virtual Reality (VR),Other",NA,4,4,4,4,4,4,0
"28","Pamlico County High School",2,"PowerPoint",NA,4,4,4,4,4,4,1
"36","Pamlico County High School",1,"Video",NA,3,3,4,3,4,3,1
"39","Rutherfordton-Spindale Central High School",4,"Handout,Lecture,PowerPoint,Video",NA,3,3,3,3,3,3,1
"52","Person High School",0,"",NA,3,4,4,3,4,3,1
"56","Pamlico County High School",0,"",NA,1,4,4,4,4,4,1
"65","Pamlico County High School",1,"Video",NA,3,2,NA,3,3,3,1
"74","Spring Creek High School",4,"Handout,Lecture",NA,1,1,1,1,1,2,1
"76","Person High School",1,"Video",NA,3,3,4,3,4,3,0
"88","Hoke County High School",3,"Lecture",NA,3,3,4,4,4,4,1
"92","Spring Creek High School",0,"",NA,4,3,4,4,4,3,1
"98","Spring Creek High School",2,"Lecture,PowerPoint",NA,3,4,4,3,4,3,1
"99","Apex Friendship High School",2,"Other",NA,3,3,4,4,4,3,1
"104","Apex Friendship High School",0,"",NA,3,4,4,4,4,4,1
"105","Apex Friendship High School",0,"",NA,3,4,4,4,4,4,1
"107","Clinton High School",1,"Video",NA,3,3,4,4,4,4,1
"109","Apex Friendship High School",0,"",NA,4,3,4,4,4,4,1
"118","Apex Friendship High School",0,"",NA,NA,3,4,NA,4,4,1
"120","Hoke County High School",1,"Video",NA,4,4,4,4,4,4,1
"121","Apex Friendship High School",0,"",NA,3,3,4,4,4,4,1
"123","Spring Creek High School",1,"Handout,Lecture",NA,3,3,4,4,4,2,1
"124","Spring Creek High School",4,"Handout,Other",NA,3,4,4,4,4,4,1
"125","Clinton High School",0,"",NA,3,1,4,3,4,3,1
"129","Spring Creek High School",0,"",NA,3,3,4,3,4,4,1
"131","Apex Friendship High School",0,"",NA,3,1,4,4,4,3,1
